iter	Passed	Remaining
144	1299	7663
145	1313	7682
146	1337	7763
147	1347	7759
148	1360	7773
149	1369	7758
150	1376	7736
151	1382	7715
152	1390	7697
153	1398	7684
154	1411	7693
155	1428	7726
156	1443	7751
157	1453	7747
158	1460	7727
159	1472	7729
160	1479	7711
161	1490	7709
162	1498	7695
163	1506	7679
164	1517	7680
165	1525	7662
166	1536	7663
167	1544	7648
168	1551	7630
169	1558	7609
170	1568	7604
171	1577	7593
172	1584	7574
173	1595	7574
174	1604	7566
175	1619	7583
176	1629	7578
177	1639	7569
178	1650	7570
179	1659	7561
180	1669	7555
181	1679	7548
182	1686	7529
183	1693	7512
184	1710	7533
185	1729	7570
186	1738	7558
187	1748	7552
188	1759	7548
189	1766	7529
190	1777	7527
191	1789	7532
192	1801	7533
193	1811	7526
194	1824	7532
195	1832	7518
196	1841	7505
197	1849	7490
198	1856	7471
199	1867	7468
200	1875	7453
201	1884	7444
202	1895	7443
203	1904	7429
204	1919	7443
205	1929	7435
206	1938	7425
207	1947	7415
208	1956	7404
209	1969	7407
210	1985	7424
211	1994	7413
212	2002	7398
213	2012	7393
214	2020	7377
215	2030	7369
216	2043	7374
217	2053	7365
218	2064	7363
219	2071	7345
220	2079	7329
221	2085	7309
222	2097	7309
223	2107	7302
224	2116	7291
225	2124	7277
226	2131	7259
227	2138	7242
228	2145	7223
229	2153	7208
230	2163	7201
231	2172	7191
232	2180	7177
233	2189	7167
234	2196	7150
235	2204	7137
236	2211	7120
237	2220	7108
238	2229	7100
239	2241	7096
240	2249	7083
241	2259	7076
242	2269	7068
243	2278	7060
244	2290	7059
245	2304	7064
246	2312	7048
247	2321	7040
248	2328	7024
249	2338	7014
250	2345	6998
251	2358	7000
252	2371	7003
253	2399	7047
254	2408	7035
255	2419	7031
256	2426	7013
257	2435	7004
258	2441	6986
259	2452	6979
260	2458	6962
261	2467	6950
262	2473	6932
263	2486	6932
264	2496	6924
265	2508	6921
266	2518	6912
267	2525	6896
268	2534	6887
269	2541	6871
270	2551	6864
271	2561	6855
272	2570	6846
273	2583	6844
274	2593	6837
275	2602	6827
276	2612	6819
277	2619	6804
278	2627	6790
279	2634	6774
280	2642	6761
281	2651	6750
282	2662	6746
283	2669	6729
284	2680	6724
285	2694	6725
286	2701	6710
287	2710	6700
288	2717	6685
289	2729	6681
290	2738	6671
291	2749	6666
292	2764	6671
293	2778	6672
294	2793	6676
295	2802	6664
296	2810	6652
297	2820	6645
298	2827	6630
299	2839	6624
300	2846	6610
301	2855	6600
302	2862	6583
303	2871	6574
304	2880	6563
305	2896	6568
306	2907	6562
307	2914	6548
308	2922	6535
309	2930	6522
310	2940	6514
311	2952	6511
312	2961	6499
313	2970	6490
314	2995	6514
315	3007	6508
316	3021	6510
317	3030	6498
318	3037	6484
319	3044	6469
320	3051	6454
321	3058	6439
322	3067	6428
323	3080	6426
324	3090	6418
325	3098	6406
326	3105	6391
327	3114	6381
328	3123	6369
329	3135	6366
330	3145	6358
331	3152	6343
332	3164	6338
333	3176	6334
334	3191	6336
335	3213	6349
336	3223	6340
337	3231	6328
338	3241	6320
339	3247	6304
340	3257	6295
341	3265	6283
342	3278	6279
343	3287	6269
344	3294	6253
345	3303	6244
346	3310	6229
347	3320	6220
348	3327	6207
349	3337	6198
350	3344	6183
351	3351	6169
352	3358	6155
353	3371	6152
354	3383	6147
355	3390	6132
356	3399	6122
357	3406	6108
358	3416	6100
359	3423	6086
360	3433	6077
361	3441	6065
362	3453	6060
363	3463	6051
364	3473	6042
365	3481	6030
366	3488	6016
367	3496	6004
368	3503	5991
369	3511	5979
370	3518	5965
371	3526	5952
372	3532	5938
373	3540	5926
374	3548	5914
375	3558	5905
376	3569	5898
377	3579	5889
378	3588	5879
379	3597	5869
380	3605	5857
381	3620	5857
382	3633	5852
383	3645	5848
384	3661	5848
385	3667	5834
386	3676	5823
387	3682	5809
388	3696	5805
389	3709	5801
390	3718	5792
391	3728	5783
392	3736	5771
393	3745	5760
394	3757	5755
395	3767	5746
396	3777	5738
397	3786	5727
398	3795	5716
399	3809	5713
400	3816	5701
401	3825	5690
402	3836	5683
403	3843	5670
404	3858	5668
405	3868	5660
406	3876	5647
407	3884	5635
408	3891	5622
409	3899	5611
410	3905	5597
411	3912	5584
412	3926	5580
413	3937	5572
414	3944	5560
415	3958	5556
416	3969	5549
417	3982	5545
418	3995	5540
419	4005	5531
420	4014	5521
421	4021	5508
422	4034	5502
423	4045	5495
424	4058	5490
425	4065	5478
426	4072	5465
427	4080	5453
428	4088	5442
429	4097	5432
430	4104	5419
431	4115	5410
432	4127	5405
433	4134	5392
434	4146	5385
435	4156	5377
436	4166	5368
437	4182	5366
438	4199	5366
439	4210	5359
440	4217	5346
441	4229	5338
442	4241	5332
443	4250	5322
444	4258	5311
445	4265	5298
446	4274	5288
447	4281	5275
448	4292	5267
449	4301	5257
450	4308	5245
451	4317	5234
452	4325	5222
453	4331	5208
454	4339	5197
455	4347	5186
456	4354	5174
457	4361	5161
458	4370	5151
459	4380	5142
460	4392	5135
461	4404	5128
462	4411	5116
463	4420	5106
464	4428	5094
465	4437	5084
466	4451	5080
467	4458	5068
468	4468	5059
469	4475	5047
470	4487	5040
471	4496	5029
472	4503	5018
473	4512	5007
474	4519	4995
475	4531	4988
476	4540	4978
477	4550	4969
478	4557	4957
479	4566	4946
480	4574	4935
481	4588	4931
482	4600	4924
483	4608	4913
484	4616	4901
485	4625	4891
486	4634	4881
487	4642	4870
488	4649	4858
489	4656	4846
490	4663	4834
491	4670	4822
492	4680	4813
493	4688	4802
494	4694	4789
495	4703	4778
496	4710	4767
497	4720	4757
498	4728	4747
499	4736	4736
500	4743	4724
501	4752	4714
502	4760	4703
503	4772	4696
504	4784	4689
505	4791	4678
506	4803	4670
507	4811	4659
508	4822	4652
509	4834	4645
510	4842	4633
511	4852	4624
512	4862	4616
513	4870	4605
514	4880	4596
515	4892	4588
516	4902	4580
517	4914	4572
518	4922	4562
519	4935	4556
520	4949	4550
521	4962	4544
522	4970	4533
523	4981	4524
524	4989	4514
525	5002	4508
526	5016	4502
527	5031	4497
528	5040	4488
529	5048	4477
530	5059	4468
531	5066	4457
532	5077	4448
533	5084	4436
534	5093	4427
535	5101	4416
536	5110	4406
537	5119	4396
538	5130	4388
539	5144	4382
540	5156	4375
541	5167	4366
542	5180	4359
543	5198	4357
544	5224	4361
545	5240	4357
546	5252	4350
547	5260	4339
548	5271	4330
549	5279	4319
550	5288	4309
551	5295	4298
552	5304	4287
553	5311	4276
554	5320	4266
555	5328	4255
556	5336	4244
557	5343	4233
558	5352	4222
559	5359	4210
560	5368	4201
561	5380	4193
562	5392	4185
563	5401	4175
564	5410	4165
565	5419	4155
566	5427	4144
567	5435	4133
568	5442	4122
569	5450	4111
570	5457	4100
571	5465	4089
572	5472	4077
573	5479	4067
574	5487	4056
575	5496	4046
576	5504	4035
577	5513	4025
578	5521	4014
579	5528	4003
580	5535	3992
581	5544	3982
582	5551	3971
583	5559	3960
584	5570	3951
585	5582	3944
586	5592	3934
587	5600	3924
588	5608	3913
589	5617	3903
590	5625	3892
591	5632	3881
592	5640	3871
593	5648	3860
594	5657	3850
595	5665	3840
596	5672	3829
597	5680	3818
598	5692	3810
599	5699	3799
600	5707	3789
601	5716	3779
602	5723	3768
603	5731	3757
604	5739	3747
605	5746	3736
606	5754	3725
607	5761	3714
608	5773	3706
609	5786	3699
610	5793	3688
611	5802	3678
612	5812	3669
613	5819	3658
614	5827	3648
615	5836	3638
616	5843	3627
617	5850	3616
618	5858	3605
619	5873	3599
620	5885	3591
621	5892	3581
622	5904	3572
623	5919	3566
624	5928	3556
625	5939	3548
626	5948	3538
627	5956	3528
628	5968	3520
629	5983	3514
630	5999	3508
631	6008	3498
632	6021	3490
633	6036	3484
634	6046	3475
635	6054	3464
636	6064	3455
637	6072	3445
638	6083	3436
639	6092	3426
640	6103	3418
641	6121	3413
642	6133	3405
643	6145	3397
644	6159	3390
645	6167	3379
646	6179	3371
647	6188	3361
648	6201	3353
649	6213	3345
650	6220	3334
651	6233	3327
652	6243	3317
653	6250	3306
654	6260	3297
655	6267	3286
656	6279	3278
657	6289	3269
658	6297	3258
659	6308	3250
660	6316	3239
661	6329	3231
662	6340	3222
663	6347	3212
664	6360	3203
665	6371	3195
666	6379	3184
667	6389	3175
668	6403	3168
669	6414	3159
670	6425	3150
671	6437	3142
672	6444	3131
673	6455	3122
674	6462	3111
675	6474	3103
676	6485	3094
677	6495	3085
678	6505	3075
679	6514	3065
680	6522	3055
681	6530	3044
682	6537	3034
683	6549	3025
684	6557	3015
685	6566	3005
686	6575	2995
687	6586	2987
688	6598	2978
689	6608	2968
690	6622	2961
691	6636	2953
692	6649	2945
693	6657	2935
694	6670	2927
695	6681	2918
696	6688	2907
697	6700	2899
698	6710	2889
699	6718	2879
700	6729	2870
701	6736	2859
702	6750	2852
703	6764	2844
704	6774	2834
705	6782	2824
706	6794	2815
707	6808	2807
708	6816	2797
709	6827	2788
710	6834	2777
711	6846	2769
712	6862	2762
713	6873	2753
714	6887	2745
715	6898	2736
716	6911	2728
717	6923	2719
718	6929	2708
719	6943	2700
720	6958	2692
721	6971	2684
722	6981	2674
723	6995	2666
724	7005	2657
725	7013	2646
726	7022	2636
727	7029	2626
728	7038	2616
729	7047	2606
730	7054	2596
731	7062	2585
732	7070	2575
733	7085	2567
734	7098	2559
735	7107	2549
736	7117	2539
737	7131	2531
738	7140	2521
739	7152	2513
740	7161	2503
741	7172	2493
742	7186	2485
743	7197	2476
744	7210	2468
745	7220	2458
746	7229	2448
747	7237	2438
748	7249	2429
749	7258	2419
750	7266	2409
751	7275	2399
752	7285	2389
753	7296	2380
754	7304	2370
755	7314	2360
756	7323	2350
757	7339	2343
758	7349	2333
759	7358	2323
760	7367	2313
761	7378	2304
762	7390	2295
763	7403	2287
764	7412	2277
765	7421	2267
766	7430	2257
767	7440	2247
768	7448	2237
769	7459	2228
770	7467	2217
771	7476	2207
772	7488	2199
773	7498	2189
774	7507	2179
775	7517	2169
776	7528	2160
777	7537	2150
778	7545	2140
779	7553	2130
780	7560	2120
781	7569	2110
782	7580	2100
783	7593	2092
784	7605	2082
785	7623	2075
786	7634	2066
787	7646	2057
788	7658	2048
789	7670	2038
790	7685	2030
791	7695	2021
792	7704	2011
793	7712	2000
794	7721	1991
795	7735	1982
796	7743	1972
797	7750	1961
798	7759	1952
799	7768	1942
800	7779	1932
801	7787	1922
802	7798	1913
803	7806	1903
804	7820	1894
805	7837	1886
806	7854	1878
807	7866	1869
808	7880	1860
809	7889	1850
810	7897	1840
811	7906	1830
812	7917	1821
813	7928	1811
814	7941	1802
815	7951	1792
816	7960	1783
817	7969	1773
818	7978	1763
819	7986	1753
820	7994	1743
821	8005	1733
822	8015	1723
823	8026	1714
824	8035	1704
825	8043	1694
826	8058	1685
827	8078	1678
828	8091	1669
829	8107	1660
830	8119	1651
831	8129	1641
832	8138	1631
833	8146	1621
834	8155	1611
835	8165	1601
836	8176	1592
837	8186	1582
838	8193	1572
839	8205	1562
840	8215	1553
841	8228	1544
842	8237	1534
843	8247	1524
844	8256	1514
845	8274	1506
846	8283	1496
847	8292	1486
848	8302	1476
849	8314	1467
850	8322	1457
851	8332	1447
852	8342	1437
853	8353	1428
854	8366	1418
855	8377	1409
856	8385	1399
857	8394	1389
858	8403	1379
859	8415	1370
860	8428	1360
861	8436	1350
862	8446	1340
863	8459	1331
864	8472	1322
865	8487	1313
866	8499	1303
867	8512	1294
868	8523	1284
869	8531	1274
870	8540	1264
871	8553	1255
872	8568	1246
873	8576	1236
874	8584	1226
875	8593	1216
876	8606	1207
877	8617	1197
878	8628	1187
879	8637	1177
880	8652	1168
881	8670	1160
882	8680	1150
883	8692	1140
884	8707	1131
885	8717	1121
886	8726	1111
887	8736	1101
888	8747	1092
889	8756	1082
890	8770	1072
891	8780	1063
892	8858	1061
893	8929	1058
894	8957	1050
895	8978	1042
896	9009	1034
897	9022	1024
898	9034	1015
899	9043	1004
900	9060	995
901	9070	985
902	9082	975
903	9092	965
904	9102	955
905	9112	945
906	9120	935
907	9131	925
908	9140	915
909	9153	905
910	9165	895
911	9176	885
912	9186	875
913	9198	865
914	9208	855
915	9216	845
916	9228	835
917	9236	825
918	9248	815
919	9263	805
920	9279	795
921	9291	786
922	9301	775
923	9315	766
924	9327	756
925	9336	746
926	9345	735
927	9358	726
928	9367	715
929	9378	705
930	9389	695
931	9396	685
932	9405	675
933	9413	665
934	9429	655
935	9443	645
936	9463	636
937	9472	626
938	9481	615
939	9489	605
940	9500	595
941	9507	585
942	9522	575
943	9537	565
944	9564	556
945	9574	546
946	9584	536
947	9594	526
948	9606	516
949	9616	506
950	9628	496
951	9639	486
952	9653	476
953	9664	465
954	9681	456
955	9694	446
956	9706	436
957	9716	425
958	9727	415
959	9751	406
960	9767	396
961	9796	386
962	9810	376
963	9822	366
964	9830	356
965	9845	346
966	9860	336
967	9874	326
968	9884	316
969	9893	305
970	9902	295
971	9910	285
972	9919	275
973	9928	265
974	9941	254
975	9953	244
976	9961	234
977	9973	224
978	9985	214
979	10003	204
980	10011	193
981	10025	183
982	10042	173
983	10058	163
984	10069	153
985	10081	143
986	10092	132
987	10103	122
988	10115	112
989	10123	102
990	10135	92
991	10148	81
992	10156	71
993	10167	61
994	10177	51
995	10187	40
996	10198	30
997	10207	20
998	10216	10
999	10229	0
