iter	MultiClass
0	1.445979804
1	1.269449198
2	1.117883291
3	1.033113355
4	0.9428235575
5	0.8914987888
6	0.8331081732
7	0.7887556717
8	0.7436735894
9	0.7190237327
10	0.6947590889
11	0.669772297
12	0.6521134058
13	0.6366772028
14	0.6231146974
15	0.6033126442
16	0.5883671709
17	0.5772813124
18	0.5653720769
19	0.5566728079
20	0.5396119044
21	0.5324118826
22	0.5219554363
23	0.5157695059
24	0.5078801258
25	0.5001734905
26	0.4889989902
27	0.4853313946
28	0.4803632738
29	0.4782665457
30	0.4710347417
31	0.4652398902
32	0.4611266726
33	0.4597256267
34	0.4542516681
35	0.4489826307
36	0.4447568582
37	0.4399651831
38	0.4353648645
39	0.4322556895
40	0.4269745128
41	0.4230295202
42	0.422029095
43	0.4187462754
44	0.4126183392
45	0.410174475
46	0.4055129692
47	0.4021331796
48	0.3992051854
49	0.3984561694
50	0.3959914788
51	0.3954248873
52	0.3927760615
53	0.3898007478
54	0.3864755177
55	0.3843075486
56	0.3838427529
57	0.381484371
58	0.3796400903
59	0.3780244231
60	0.3757686169
61	0.3730062307
62	0.371591106
63	0.3711979526
64	0.3693079844
65	0.3670433279
66	0.3648564225
67	0.3632070244
68	0.3620007853
69	0.3610756622
70	0.3598216715
71	0.3587558811
72	0.3574652958
73	0.3559404273
74	0.3556098732
75	0.3554849031
76	0.3536118678
77	0.3522236564
78	0.3515736281
79	0.3503506301
80	0.3480779145
81	0.3476520354
82	0.3473819221
83	0.3454724815
84	0.3445015919
85	0.3437934737
86	0.3428489505
87	0.3415983038
88	0.3408754407
89	0.3406554741
90	0.3401733286
91	0.3388236823
92	0.3380445398
93	0.337607668
94	0.3366157547
95	0.3358453537
96	0.3347392595
97	0.3345518278
98	0.3339895735
99	0.3337459587
100	0.3331003597
101	0.332708911
102	0.3325606834
103	0.3324061064
104	0.3315468709
105	0.3314180014
106	0.3314148547
107	0.3311336456
108	0.3299796952
109	0.3298498218
110	0.3290084718
111	0.3287613731
112	0.3287592365
113	0.3285519703
114	0.3282528024
115	0.3271990043
116	0.3259968244
117	0.3259792046
118	0.3258543974
119	0.3257022944
120	0.3255831946
121	0.325242926
122	0.3250516873
123	0.3249550064
124	0.3243737295
125	0.3242700249
126	0.3235445839
127	0.3229731032
128	0.3222892614
129	0.3216630029
130	0.3216354318
131	0.321416127
132	0.321249071
133	0.3210359159
134	0.3209242162
135	0.3207906266
136	0.3196885337
137	0.3195464793
138	0.3191261388
139	0.3187422144
140	0.3187398733
141	0.3187002319
142	0.3179159496
143	0.3178997139
144	0.3178970531
145	0.317893534
146	0.3177471604
147	0.3177276275
148	0.3177253156
149	0.3176029709
150	0.3173110514
151	0.3172957967
152	0.3172934764
153	0.3172687626
154	0.3172610427
155	0.3168294758
156	0.3168285631
157	0.3167541714
158	0.3166547034
159	0.3166449747
160	0.316519673
161	0.3163954711
162	0.3163102975
163	0.3162742315
164	0.3162010025
165	0.3161681655
166	0.3159652212
167	0.3158707115
168	0.3157591146
169	0.3157570393
170	0.3155625176
171	0.3155374899
172	0.3154084461
173	0.3153332735
174	0.3148109745
175	0.3147975572
176	0.3147958683
177	0.3141710691
178	0.3141108489
179	0.3140691689
180	0.31405637
181	0.3138572566
182	0.3138549042
183	0.3130919518
184	0.3129753104
185	0.3129728464
186	0.3129335944
187	0.3129040446
188	0.3128050221
189	0.3123802959
190	0.3123778142
191	0.3122450824
192	0.3122153031
193	0.3121932613
194	0.3121658492
195	0.3121641191
196	0.3120961102
197	0.3119925887
198	0.3119684299
199	0.3118655873
