iter	Passed	Remaining
0	1451	114639
1	2886	112575
2	4168	106988
3	5423	103049
4	6760	101403
5	8090	99788
6	9460	98659
7	10879	97916
8	12152	95869
9	13488	94419
10	15291	95916
11	17129	97069
12	19437	100178
13	21218	100028
14	22820	98889
15	24573	98295
16	26046	96526
17	27346	94192
18	28706	92163
19	30168	90506
20	31936	89726
21	33682	88800
22	35629	88298
23	37402	87271
